name,console,genre,region,publisher,views,download,released,rate,site,link
Uncharted: Golden Abyss,PS Vita,"action,adventure",WW,Sony Computer Entertainment,"22,842","16,018","December 17, 2011",3.6/5 (63 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/uncharted-golden-abyss.html
Metal Gear Solid 3: Snake Eater HD Edition,PS Vita,"action,adventure",EU,Konami,"9,795","15,468","August 21, 2012",3.9/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/metal-gear-solid-3-snake-eater-hd-edition.html
Mortal Kombat,PS Vita,fighting,WW,Warner Bros. Interactive Entertainment,"19,893","14,554","April 19, 2011",3.8/5 (9 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/mortal-kombat-2.html
Persona 4 Golden,PS Vita,role-playing,WW,Atlus,"19,368","14,332","June 14, 2012",3.6/5 (84 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/persona-4-golden.html
Final Fantasy X|X-2 HD Remaster,PS Vita,other,EU,Square Enix,"13,551","13,034",None,3.9/5 (32 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/final-fantasy-xx-2-hd-remaster.html
Minecraft,PS Vita,"adventure,other",WW,Sony Computer Entertainment,"16,645","13,026",18 November 2011,3.7/5 (27 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/minecraft-2.html
Call of Duty: Black Ops Declassified,PS Vita,"action,fps",WW,Activision,"16,613","11,603","WW: November 13, 2012",3.8/5 (12 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/call-of-duty-black-ops-declassified.html
Need for Speed Most Wanted,PS Vita,racing,WW,Electronic Arts,"14,582","9,656",30 October 2012,3.7/5 (9 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/need-for-speed-most-wanted-2012.html
Killzone Mercenary,PS Vita,other,WW,Sony Computer Entertainment,"13,400","9,513",4 September 2013,3.9/5 (13 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/killzone-mercenary.html
Tearaway,PS Vita,"adventure,platformer",WW,Sony Computer Entertainment Europe,"7,708","8,146",20 November 2013,4.3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/tearaway.html
Assassin’s Creed III: Liberation,PS Vita,"action,adventure",WW,Ubisoft,"9,799","7,940","October 30, 2012",3.4/5 (10 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/assassins-creed-iii-liberation.html
Street Fighter X Tekken,PS Vita,fighting,WW,Capcom,"8,910","7,808","October 25, 2012",4/5 (7 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/street-fighter-x-tekken.html
God of War Collection,PS Vita,"action,adventure",WW,Sony Computer Entertainment,"17,578","7,578","May 6, 2014",4/5 (30 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/god-of-war-collection.html
Gravity Rush,PS Vita,"action,adventure",WW,Sony Computer Entertainment,"8,424","7,332","February 9, 2012",4.2/5 (26 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/gravity-rush.html
Resident Evil: Revelations 2,PS Vita,other,WW,Capcom,"7,683","6,610",Unknown,4.1/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/resident-evil-revelations-2-3.html
Unit 13,PS Vita,other,WW,Sony Computer Entertainment,"6,635","5,766","March 6, 2012",4.3/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/unit-13.html
Persona 4 Dancing All Night,PS Vita,other,EU,Atlus,"4,175","5,709",None,3.6/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/persona-4-dancing-all-night.html
Ultimate Marvel vs. Capcom 3,PS Vita,fighting,EU,Capcom,"5,821","5,459",None,4.2/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/ultimate-marvel-vs-capcom-3-2.html
Senran Kagura Estival Versus,PS Vita,action,EU,Marvelous Entertainment,"6,976","4,994",26th Mar 2015,4.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/senran-kagura-estival-versus-2.html
Metal Gear Solid HD Collection,PS Vita,action,EU,Konami,"9,763","4,980",None,4.1/5 (9 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/metal-gear-solid-hd-collection-2.html
MotorStorm: RC,PS Vita,racing,WW,Sony Computer Entertainment,"2,651","4,965",22 February 2012,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/motorstorm-rc.html
Borderlands 2,PS Vita,"action,role-playing",WW,2K Games,"6,816","4,495","May 13, 2014",3.7/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/borderlands-2.html
LittleBigPlanet,PS Vita,"platformer,puzzle",WW,Sony Computer Entertainment,"5,704","4,379",19 September 2012,4.7/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/littlebigplanet.html
Limbo,PS Vita,"action,platformer",EU,Playdead,"4,411","4,115","June 4, 2013",4.5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/limbo.html
Dead or Alive Xtreme 3 Venus,PS Vita,arcade,Asia,KOEI TECMO GAMES CO.,"7,171","3,950","May 16, 2016",4.4/5 (20 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/dead-or-alive-xtreme-3-venus.html
Muramasa Rebirth,PS Vita,"action,role-playing",WW,Marvelous AQL,"3,169","3,597","April 9, 2009",4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/muramasa-rebirth-2.html
Digimon World: Next Order,PS Vita,role-playing,Asia,BANDAI NAMCO Entertainment,"7,063","3,574","March 17, 2016",3.5/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/digimon-world-next-order.html
