name,console,genre,region,publisher,views,download,released,rate,site,link
SUPER MARIO WORLD 2 – YOSHI’S ISLAND,SNES,platformer,EU,Nintendo,"4,809","4,814",1995,4.7/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/super-nintendo/super-mario-world-2-yoshis-island.html
"LEGEND OF ZELDA, THE – A LINK TO THE PAST",SNES,role-playing,EU,Nintendo,"4,158","3,552",1992,4.4/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/super-nintendo/legend-of-zelda-the-a-link-to-the-past.html
SUPER MARIO WORLD,SNES,platformer,EU,Nintendo,"3,645","3,407","November 21, 1990",3.2/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/super-nintendo/super-mario-world.html
Donkey Kong Country 2: Diddy’s Kong Quest,SNES,platformer,EU,Nintendo,"2,872","3,095",1995,4.2/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/super-nintendo/donkey-kong-country-2-2.html
DONKEY KONG COUNTRY (V1.2),SNES,platformer,EU,Nintendo,"3,070","2,967",21 November 1994,3.4/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/super-nintendo/donkey-kong-country-v1-2.html
Mega Man X,SNES,platformer,EU,Capcom,"2,571","2,709",1994,4.5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/super-nintendo/mega-man-x.html
SUPER MARIO ALL-STARS + SUPER MARIO WORLD,SNES,platformer,EU,Nintendo,"4,384","2,664",1994,4.8/5 (8 votes),ROMSFUN.com,https://romsfun.com/roms/super-nintendo/super-mario-all-stars-super-mario-world.html
SUPER MARIO KART,SNES,racing,EU,Nintendo,"3,419","2,529","August 27, 1992",3.4/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/super-nintendo/super-mario-kart.html
Super Street Fighter II – The New Challengers,SNES,fighting,EU,Capcom,"2,619","2,348",1993,5/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/super-nintendo/super-street-fighter-ii-the-new-challengers-2.html
Super Metroid,SNES,platformer,EU,Nintendo,"3,133","2,333",1994,3.8/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/super-nintendo/super-metroid.html
