name,console,genre,region,publisher,views,download,released,rate,site,link
Sonic Adventure,Sega Dreamcast,platform,None,SEGA,"3,637","5,446",None,3.9/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/sonic-adventure-3.html
Shenmue,Sega Dreamcast,"adventure,role-playing",Japan,SEGA,"2,356","5,153",None,4.2/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/shenmue.html
Resident Evil Code: Veronica,Sega Dreamcast,"action,adventure",Japan,Capcom,"2,156","4,784",None,4.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/resident-evil-code-veronica-2.html
Shenmue II,Sega Dreamcast,"action,adventure",None,SEGA,"1,760","4,259",None,3.8/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/shenmue-ii-2.html
Sonic Adventure 2,Sega Dreamcast,platform,None,SEGA,"2,845","4,053",None,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/sonic-adventure-2-2.html
Sega Rally 2,Sega Dreamcast,racing,Japan,SEGA,"2,544","3,318",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/sega-rally-2.html
Dead or Alive 2: Final,Sega Dreamcast,fighting,None,Dreamcast-Talk.com,"2,427","3,151",None,3.8/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/dead-or-alive-2-final.html
Tokyo Bus Guide,Sega Dreamcast,vehicle-simulation,None,Fortyfive Co.,"2,428","3,151",None,4.4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/tokyo-bus-guide.html
Resident Evil 2,Sega Dreamcast,horror,Japan,Capcom,"2,484","2,981",None,4.1/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/resident-evil-2-3.html
Marvel vs. Capcom 2: New Age of Heroes,Sega Dreamcast,fighting,None,Capcom,"3,575","2,675",None,3.4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/marvel-vs-capcom-2-new-age-of-heroes-4.html
Street Fighter III: 3rd Strike,Sega Dreamcast,"action,fighting",Japan,Capcom,"2,395","2,558",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/street-fighter-iii-3rd-strike.html
Skies of Arcadia,Sega Dreamcast,"action,adventure",Japan,SEGA,"1,785","2,376",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/skies-of-arcadia.html
SoulCalibur,Sega Dreamcast,fighting,World,Namco,"1,689","2,315",None,4.7/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/soulcalibur.html
Crazy Taxi,Sega Dreamcast,racing,None,SEGA,"1,803","2,294",None,3.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/crazy-taxi-3.html
Alone in the Dark: The New Nightmare,Sega Dreamcast,"action,adventure",None,Infogrames,"1,519","2,157",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/alone-in-the-dark-the-new-nightmare-4.html
Record of Lodoss War,Sega Dreamcast,"action,role-playing",Japan,Conspiracy Entertainment,"1,897","2,135",None,4.2/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/record-of-lodoss-war.html
Ready 2 Rumble Boxing: Round 2,Sega Dreamcast,fighting,None,Midway Games,"1,920","2,065",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/ready-2-rumble-boxing-round-2-3.html
Sakura Taisen 3: Paris wa Moeteiru ka,Sega Dreamcast,"adventure,strategy",None,SEGA,"1,587","2,042",None,0/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/sakura-taisen-3-paris-wa-moeteiru-ka.html
"Sakura Taisen 2: Kimi, Shinitamou Koto Nakare",Sega Dreamcast,"adventure,strategy",None,SEGA,"1,350","1,871",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/sakura-taisen-2-kimi-shinitamou-koto-nakare.html
Mortal Kombat Gold,Sega Dreamcast,fighting,None,Midwat,"1,648","1,823",None,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/mortal-kombat-gold.html
The House of the Dead 2,Sega Dreamcast,"action,horror",None,SEGA,"1,488","1,809",None,3.7/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/the-house-of-the-dead-2.html
Tomb Raider: The Last Revelation,Sega Dreamcast,"action,platform",France,Eidos,"1,248","1,755",None,2.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/tomb-raider-the-last-revelation-2.html
Crazy Taxi 2,Sega Dreamcast,racing,None,SEGA,"1,370","1,742",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/crazy-taxi-2.html
D2,Sega Dreamcast,"action,horror",Japan,SEGA,"1,579","1,728",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/d2.html
Resident Evil 3: Nemesis,Sega Dreamcast,"action,adventure",Japan,CAPCOM Co.,"1,453","1,725",None,4.3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/resident-evil-3-nemesis-3.html
NBA 2K,Sega Dreamcast,sports,None,Sega Sports,"1,013","1,666",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/nba-2k.html
Sonic Shuffle,Sega Dreamcast,action,None,Inc.,"1,809","1,655",None,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/sonic-shuffle.html
Dino Crisis,Sega Dreamcast,"horror,shooter",None,Capcom,"1,259","1,617",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/dino-crisis-3.html
Legacy of Kain: Soul Reaver,Sega Dreamcast,"action,adventure",None,Eidos,"1,186","1,609",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/legacy-of-kain-soul-reaver-3.html
Marvel vs. Capcom: Clash of Super Heroes,Sega Dreamcast,fighting,United States,Capcom,"1,357","1,583",None,2.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/marvel-vs-capcom-clash-of-super-heroes-2.html
San Francisco Rush 2049,Sega Dreamcast,racing,None,Midway,876,"1,582",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/san-francisco-rush-2049-2.html
Headhunter,Sega Dreamcast,"action,adventure",None,SEGA,"1,603","1,538",None,3.8/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/headhunter-2.html
Sakura Taisen,Sega Dreamcast,"adventure,strategy",None,SEGA Corporation,"1,082","1,468",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/sakura-taisen.html
Grand Theft Auto 2,Sega Dreamcast,"action,racing",None,Rockstar Games,"1,486","1,462",None,4.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/grand-theft-auto-2-3.html
Power Stone 2,Sega Dreamcast,fighting,None,Capcom,"1,437","1,462",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/power-stone-2.html
Spider-Man,Sega Dreamcast,action,None,Activision,"1,377","1,383",None,3.8/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/spider-man-7.html
JoJo's Bizarre Adventure,Sega Dreamcast,fighting,Japan,Capcom,"1,672","1,361",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/jojos-bizarre-adventure-2.html
Virtua Fighter 3tb,Sega Dreamcast,fighting,None,SEGA,"1,202","1,358",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/virtua-fighter-3tb.html
Stupid Invaders,Sega Dreamcast,adventure,None,Ubisoft,"1,012","1,329",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/stupid-invaders.html
Wacky Races,Sega Dreamcast,racing,Spain,Infogrames,"1,523","1,317",None,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/wacky-races-2.html
Zombie Revenge,Sega Dreamcast,"action,beat-em-up",None,SEGA,"1,240","1,247",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/zombie-revenge.html
Street Fighter III: Double Impact,Sega Dreamcast,fighting,Japan,Virgin Interactive,"1,180","1,225",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/street-fighter-iii-double-impact.html
Grandia II,Sega Dreamcast,"adventure,role-playing",None,Ubisoft,"1,170","1,208",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/grandia-ii-2.html
Virtua Tennis 2,Sega Dreamcast,sports,Japan,SEGA,"1,509","1,207",None,4.7/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/virtua-tennis-2.html
Sega GT,Sega Dreamcast,racing,Japan,SEGA,"1,248","1,182",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/sega-gt.html
Capcom vs. SNK: Millennium Fight 2000,Sega Dreamcast,fighting,Japan,Capcom,"1,688","1,176",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/capcom-vs-snk-millennium-fight-2000.html
Dead or Alive 2,Sega Dreamcast,fighting,None,Tecmo,"1,065","1,144",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/dead-or-alive-2-2.html
Tomb Raider Chronicles,Sega Dreamcast,platform,France,Eidos Interactive,"1,167","1,140",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/tomb-raider-chronicles.html
Spawn: In the Demon's Hand,Sega Dreamcast,action,None,Capcom,"1,193","1,126",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/spawn-in-the-demons-hand.html
Power Stone,Sega Dreamcast,fighting,None,SEGA,"1,153","1,116",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/power-stone.html
Sword of the Berserk: Guts' Rage,Sega Dreamcast,action,Japan,Eidos Interactive,"1,479","1,093",None,3.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/sword-of-the-berserk-guts-rage.html
Fighting Vipers 2,Sega Dreamcast,fighting,None,SEGA,"1,321","1,067",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/fighting-vipers-2.html
Border Down,Sega Dreamcast,shooter,None,G.rev Ltd.,"2,066","1,061",None,3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/border-down.html
Capcom vs. SNK,Sega Dreamcast,fighting,North America,Capcom,"1,164","1,054",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/capcom-vs-snk.html
Street Fighter Alpha 3,Sega Dreamcast,fighting,Japan,Capcom,"1,266","1,043",None,3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/street-fighter-alpha-3-3.html
Hydro Thunder,Sega Dreamcast,racing,None,Midway,"1,044","1,019",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/hydro-thunder-2.html
Nightmare Creatures II,Sega Dreamcast,"action,adventure",None,Konami,"1,254","1,004",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/nightmare-creatures-ii-2.html
Rayman 2: The Great Escape,Sega Dreamcast,platform,Japan,Ubisoft,"1,040","1,003",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/rayman-2-the-great-escape-3.html
Gundam Side Story 0079: Rise From the Ashes,Sega Dreamcast,shooter,None,Bandai,"1,144",999,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/gundam-side-story-0079-rise-from-the-ashes.html
Looney Tunes: Space Race,Sega Dreamcast,racing,None,Infogrames,"1,046",992,None,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/looney-tunes-space-race.html
Space Channel 5,Sega Dreamcast,music,None,SEGA,999,975,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/space-channel-5.html
Kidou Senshi Gundam: Renpou vs. Zeon &amp; DX,Sega Dreamcast,action,None,Bandai,"1,072",969,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/kidou-senshi-gundam-renpou-vs-zeon-dx.html
Daytona USA,Sega Dreamcast,racing,Europe,SEGA,"1,501",962,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/daytona-usa-2.html
Ready 2 Rumble Boxing,Sega Dreamcast,"fighting,sports",Japan,Midway,828,960,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/ready-2-rumble-boxing-2.html
Virtua Cop 2,Sega Dreamcast,shooter,None,SEGA,"1,621",944,None,3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/virtua-cop-2.html
Ghost Blade,Sega Dreamcast,shooter,None,Independent,"1,360",943,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/ghost-blade.html
Blue Stinger,Sega Dreamcast,"action,adventure",None,Activision,980,925,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/blue-stinger.html
Gunbird 2,Sega Dreamcast,shooter,None,Capcom,"1,262",920,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/dreamcast/gunbird-2.html
